id,nome,massa,luminosidade,temperatura,distancia,ascensao_reta,declinacao
56,tamandua-silencioso-iota,1.0617315,3.3985384,5491.009,3291.0498,317.80876743420055,37.47794403151196
57,lontra-instintiva-sigma,0.8651108,0.7489158,5374.415,1837.3337,297.99546587192,-26.222818387358924
58,crocodilo-agil-alfa,1.0514408,1.3143139,5935.7964,763.8767,94.94746374929233,-41.625342792892816
59,morcego-perspicaz-beta,0.9042025,1.2115253,5081.2773,1160.0049,121.69150180044136,-34.712509451440674
60,porco-eterno-iota,0.7911907,0.42616972,4921.999,1475.6584,279.1239505157285,-36.33440682439493
61,cachorro-astuto-beta,1.105704,2.0114193,6002.079,1104.5096,296.54230608580343,28.931084560877768
62,onca-humilde-beta,1.1648417,2.3598287,6156.871,1575.9258,327.8354126952258,53.46525595059092
63,pinguim-mortal-sigma,0.7394686,0.24636576,4585.795,893.5668,231.72114072221882,-36.16326577374697
64,tamandua-nobre-zeta,0.7721211,0.38556215,4810.6133,1342.9603,293.2558499183359,24.053734468578142
65,foca-racional-beta,1.0065855,2.1690278,5716.3613,1171.417,261.26843229122557,4.247895883899663
66,cobra-congelante-pi,5.187465,1091.4502,15032.098,2076.0786,248.70254877251023,-50.39555059948393
67,tigre-calmo-gama,0.8543492,0.7259674,5159.67,853.5704,262.7401662266732,-39.1982127428026
68,rinoceronte-livre-alfa,0.7676551,0.23958904,4726.551,1391.6014,297.2652840120666,-24.889925831087
69,pantera-destemida-zeta,1.0306233,8.692232,4710.4077,2131.3955,222.68123959252796,-64.95603104129424
70,lontra-sagaz-gama,0.74369353,0.24374548,4632.6924,1035.3015,158.72101632584133,-57.78413313365426
71,girafa-corajosa-sigma,1.7253634,12.95368,6808.676,1836.1671,106.76402462671557,-17.84656817149072
72,panda-vibrante-sigma,3.300827,181.87521,4719.2964,3343.9944,267.23783940308465,-36.76026996973531
73,arraia-corajosa-delta,1.2531927,2.2148798,6504.8555,1545.6265,313.3094230397397,46.61693886838032
74,raposa-nervosa-zeta,2.6018898,39.48844,4936.227,2522.936,266.7922089874464,-33.89789474149718
75,camaleao-mortal-iota,0.7031324,0.13164102,4443.77,1315.1157,302.2097747237776,22.29288331007156
76,morcego-resoluto-gama,0.925196,1.1931837,5296.9946,2193.1785,341.72714056126034,47.01544722199127
77,cachorro-ferido-sigma,0.7358367,0.6192804,4745.0566,776.7529,345.4844238483912,67.81651934884384
78,leao-selvagem-sigma,0.71116805,0.18335366,4432.888,1968.8865,306.76089393549995,17.703869340303257
79,ornintorrinco-rapido-zeta,0.76006037,0.3226843,4727.477,1507.6461,268.99132099496796,-39.80031630775406
80,urso-ardente-alfa,0.7735258,0.2871312,4744.4575,822.9014,197.17999911089436,-66.21937970242442
81,texugo-razante-delta,0.85725725,0.56433344,5312.123,741.7183,214.56406175081705,-46.730798850622485
82,galo-digno-iota,0.78899115,0.47485834,5030.3384,2085.236,165.67313955984903,-42.83342730884309
83,urso-ousado-alfa,0.81497073,0.50564396,4799.176,1465.4783,268.2634281500268,-56.27738622132027
84,hiena-audivel-sigma,2.5026267,26.867159,4958.1606,2192.1265,297.8234657094062,35.69444649616818
85,suricato-mortal-beta,0.9275761,1.4389045,5283.055,1446.3688,271.29440405761443,-42.23242255144122
86,foca-devota-alfa,0.8466353,0.61696166,5316.394,1059.7163,273.2596841793331,46.445592716737835
87,cobra-brava-delta,1.4704735,5.279114,7057.392,2525.1199,106.29988469888089,-29.363873795403478
88,baleia-silenciosa-sigma,3.0012877,74.06289,5962.155,6853.4746,228.85756232549122,-53.463054454498476
89,javali-veneravel-beta,0.6795401,0.14027207,4312.548,593.1353,217.62844680470852,-62.60504730498418
90,golfinho-valioso-sigma,0.66804355,0.10835129,4235.698,1644.5245,282.759893309468,-23.508082720521177
91,jaguar-indomavel-beta,0.99083406,4.62769,4730.268,1221.4473,277.70033737862724,-6.771261658099554
92,zebra-nobre-pi,1.1059779,1.9664468,6055.713,576.3564,82.4010177360408,4.889023407654026
93,pavao-perspicaz-sigma,0.7662336,0.16881114,4761.172,1874.237,340.1876963150247,18.879445700285146
94,vaca-eletrico-gama,0.8854683,0.8632144,4602.731,919.3032,301.65254553688703,24.83738922178238
95,bufalo-sabio-zeta,1.0513557,5.3301744,4858.5137,2305.7693,278.5410600281698,-24.827601442112403
96,ornintorrinco-esperto-delta,0.84988606,0.73150307,5054.7656,895.7717,168.77762624292828,-63.57011843662751
97,ornintorrinco-fiel-pi,1.3711672,4.5384464,6646.175,1699.8649,224.35541636608798,-52.48318135274426
98,canguru-feroz-gama,0.91777194,1.2681998,5602.9673,1451.3901,343.1510444750288,-24.71985416215714
99,golfinho-orgulhoso-gama,0.7925233,0.38875446,4579.035,890.736,263.933567793229,-21.559204847183107
100,canario-zeloso-gama,2.3011367,41.91793,5158.6987,3544.2517,211.49503962655103,-65.70354151171279
101,tartaruga-razante-sigma,3.1007042,150.39551,5593.4556,2790.2244,255.6555667862932,-35.35757596282879
102,tordo-pensativo-sigma,0.8552723,0.6439928,5287.6714,2007.5778,320.72105653693933,32.922663291212224
103,elefante-vivaz-delta,0.7850769,0.33483434,4990.6577,1981.3232,281.59690240705953,14.09216177175971
104,lobo-pensativo-beta,0.7727034,0.31071138,4779.0,1201.6888,149.67846808605876,-65.42923593094956
105,galinha-legendaria-zeta,0.6628605,0.1743431,4267.56,1073.4204,147.5559835945647,68.06722659284546
106,camelo-invisivel-pi,1.4214278,5.802283,6228.788,1094.4652,260.30417970118475,-57.28145693182619
107,leopardo-vigoroso-beta,0.9599789,2.0075047,5087.5186,1242.8037,264.9835464607232,-39.46261670889873
108,lobo-ardiloso-alfa,1.4117328,4.608396,6853.3237,1891.7306,185.7404345103385,-57.65462648703208
109,carpa-resoluta-zeta,1.1651715,2.497186,6027.974,194.0765,18.466531809347487,2.87878976386266
110,pinguim-valente-gama,0.79841346,0.24299207,4834.5303,673.4598,305.018794382951,20.067355672369153
111,camaleao-legendario-gama,1.1527315,1.3377125,6203.8247,2957.254,282.67639264612177,-63.555590903456704
112,canario-corajoso-iota,1.571096,6.156581,7537.748,2493.4504,291.67372616454924,5.194226179292324
113,vaca-astrologa-gama,0.86943376,0.97752035,5158.115,840.308,244.4632750987522,-50.27857899861078
114,girafa-veneravel-beta,2.3040683,46.69305,4578.952,1137.774,234.277207436125,-54.21862283350903
115,pavao-sigiloso-zeta,0.5346775,0.050088868,3808.7412,675.2571,267.9943667510754,-17.30450447841899
116,rinoceronte-nervoso-gama,2.5167084,135.11743,5052.8735,1723.8466,185.89562660054176,-61.05942702363822
117,dragao-vibrante-iota,0.76484835,0.31046894,4846.515,1811.9961,225.75396543146346,-41.668809363740365
118,porco-saltitante-iota,3.8656194,280.53098,5086.55,3258.5872,24.097929269159533,62.954500045746016
119,cobra-hostil-alfa,0.86402273,0.48462754,5334.2744,1191.6226,120.7726560859664,-54.9365855043643
120,leao-sagaz-pi,1.29343,3.3349643,6538.4634,1694.8676,286.0384815437073,16.913044611077158
121,foca-leal-alfa,3.1015983,192.2134,9169.534,5347.888,317.32022434223165,49.16586413986539
122,zebra-leal-alfa,0.5683156,0.076538295,3764.1934,547.6279,131.64756215673904,-32.377315843251374
123,porco-implacavel-gama,2.702935,32.217407,4679.5894,885.106,257.98576497886006,4.458220556220563
124,panda-invisivel-zeta,1.1816121,7.9639735,4855.495,1532.2334,78.40681866617338,51.64021271442963
125,dragao-perspicaz-sigma,2.0326,24.968525,7991.4585,4107.2163,340.0653190839172,54.35180230933008
126,zebra-inquieta-alfa,0.7011699,0.15806809,4412.658,1125.863,304.0582016359318,49.416408811894996
127,javali-prudente-sigma,0.7065195,0.17959787,4445.505,817.1814,268.7622065285102,3.4790647124869114
128,puma-sonhador-delta,1.1887922,3.9164026,5759.921,1657.4856,255.73882482484402,-34.1714149346618
129,lobo-audaz-pi,3.7246368,583.3785,7799.366,1733.7415,303.80674348513,32.64430827458727
130,onca-vivaz-sigma,1.1219596,2.8457012,5983.7935,1758.8315,325.7028260720745,52.41110103503512
131,gaivota-cautelosa-sigma,1.5026464,6.8124285,6830.457,1333.3486,95.92514898720111,7.468342679301117
132,arraia-radiante-pi,0.8733626,0.41379613,5174.8066,1837.9451,275.42415579862967,-40.05443848943182
133,foca-agil-pi,2.700278,58.746933,5260.247,2493.6204,167.91093645698984,-66.10369068372401
134,galinha-invisivel-pi,0.74513054,0.2276511,4535.558,970.4183,222.92121456555722,-81.2203416736822
135,canario-lento-delta,1.1391186,1.7488128,6143.5747,1382.1711,107.58114182297365,52.81541216852365
136,tartaruga-tenaz-delta,0.7172909,0.14616713,4462.5376,810.5416,109.14769666136036,-26.13146465196674
137,canguru-implacavel-pi,1.1949399,4.0577135,5922.1973,1700.2092,171.36548344231565,-51.13634082101661
138,camelo-nobre-pi,0.9088287,1.2035681,5695.8804,954.4659,304.8418786674389,15.124175834680647
139,camaleao-zeloso-zeta,0.55470556,0.047252756,3844.3267,433.3311,206.8183316767591,-57.43007106128634
140,foca-antiga-delta,1.0004652,5.8766904,4755.655,5046.8716,64.83752812156523,-71.58989197329582
141,tubarao-implacavel-zeta,0.947968,1.4194882,4912.8125,1199.3386,286.36165791035825,-24.68788416414248
142,falcao-ardente-zeta,0.9299357,1.43296,4929.1,1168.6241,215.95619745093077,-55.812519023037716
143,morcego-humilde-beta,0.6815921,0.11299002,4295.802,1167.1252,291.2718966289548,36.04946375009997
144,cachorro-agil-zeta,2.01404,28.95305,6096.762,2438.8447,284.84608444555994,-0.7273707967594045
145,boi-razante-beta,0.79948074,0.40963507,4917.146,825.9678,287.33617386883304,21.052919627832093
146,tartaruga-inquieta-alfa,0.99037266,3.9486094,4792.5986,912.6811,276.28978350968555,-12.019750346619382
147,cisne-vigoroso-delta,1.6909066,11.312941,7164.647,2508.3,191.92250549894615,-60.644652390406705
148,porco-antigo-delta,1.0807711,4.8477798,5029.8745,4342.134,210.58166240447397,-58.76685843151215
149,galo-calmo-alfa,0.58652353,0.0717638,3565.2866,504.2285,109.27987256038068,44.4163161142202
150,leopardo-sigiloso-zeta,0.9470083,1.2257888,5709.289,1122.523,281.87074278973756,27.319600530328323
151,canario-saliente-beta,0.810777,0.49056587,4903.5894,1612.1514,226.84772691867616,-42.7854556350885
152,gorila-firme-iota,1.8002737,14.927477,5467.0005,1604.6082,44.06408911588441,60.03518830765573
153,lince-eterno-beta,1.0568308,1.7531302,5898.223,792.0128,282.86646130412237,-55.97970890465492
154,leopardo-furioso-gama,0.7074304,0.22849415,4439.013,1408.1285,64.55722296424234,73.5229193365103
155,gorila-furioso-gama,1.6961201,8.172612,8256.912,1556.8923,296.22592176586664,26.220689148460096
156,girafa-frenetica-zeta,0.9898493,2.5746505,4931.1323,1799.6211,284.70375060552175,-3.2260231421294363
157,boi-furioso-alfa,0.7974635,0.39113837,4692.784,880.0746,255.43335768840075,-30.4450059571187
158,vaca-curiosa-gama,1.2428788,9.231441,4819.537,2121.615,281.4213504215332,9.875719535539137
159,bode-frenetico-alfa,0.5981877,0.09791229,3659.4395,555.2983,274.30025227939734,2.353368312278066
160,camelo-inteligente-beta,1.0770967,1.1188021,5877.843,738.8711,296.1064206142032,36.63219394080204
161,cervo-desconfiado-beta,0.9551263,1.7833852,5235.1777,1067.8613,305.755747242895,22.535203073632587
162,pinguim-forte-delta,0.70372593,0.12349227,4404.768,704.3942,97.78986029658023,40.06956719931277
163,panda-calmo-pi,1.1788048,3.7162724,5677.7544,1260.0134,171.1856470883628,-66.61687119138523
164,lontra-perspicaz-beta,0.7081324,0.15603894,4447.5527,648.0156,346.5410222404466,69.35176591652645
165,puma-agradavel-iota,0.79867256,0.2003465,4896.907,975.0894,21.416781914832182,59.93386841239242
166,cachorro-congelante-zeta,0.874324,0.68689454,5398.6216,2287.4338,171.3137804112437,-19.277639144879426
167,galo-perigoso-delta,0.982411,2.1334288,5648.3228,7365.8325,248.1081419323622,-61.371136424247524
168,panda-ardiloso-gama,2.7205935,327.59354,5319.372,2228.5466,340.73938161710174,63.261240490708424
169,ganso-vibrante-iota,1.0597657,3.0427024,5005.7026,2509.887,296.27264174727003,39.396652767262594
170,arraia-divina-gama,0.9278821,1.5214558,5256.03,1063.361,234.72626498757327,-60.9558359473404
171,aguia-frenetica-pi,0.7207513,0.20595661,4458.7544,1084.6307,292.68881147361714,-28.74177783625413
172,ganso-brilhante-zeta,0.9465838,1.4260858,5377.673,806.2612,267.24062011392255,-5.641909580440747
173,gorila-brilhante-zeta,0.9592347,0.6861876,5567.2505,1087.4902,268.90644629560165,-1.7483896614425731
174,macaco-vivaz-delta,0.59263813,0.07401963,3909.497,735.4426,274.84607456540243,-22.265073583322536
175,leao-silencioso-beta,1.1613746,6.26441,4904.047,1966.0103,284.9255523738544,-30.3326578182804
176,arraia-agil-alfa,1.1198438,3.4810495,5040.9873,2177.4639,281.35998989117326,-22.315417025718954
177,suricato-inspirado-alfa,1.740313,13.417245,6917.0474,2010.0547,148.14408049855243,-54.136620669053116
178,falcao-vivaz-delta,0.9491404,1.6692502,4934.103,1475.6025,270.74799805930934,-34.630789526880164
179,cachorro-sereno-zeta,1.9107323,14.01397,8909.692,2162.973,320.86247662867135,50.739254978014266
180,tamandua-corajoso-sigma,1.2800543,4.3314404,5144.1426,2180.3083,263.3432248761876,-12.769792766471783
181,elefante-resoluto-pi,1.0003378,4.936094,4728.4297,1597.7168,273.3182022858432,-5.907154323824804
182,gorila-fiel-pi,1.0200167,2.9379594,4942.19,2056.4097,213.9299404408676,-65.51892195549766
183,gorila-animoso-alfa,1.6402433,9.165224,6702.918,1445.5393,334.21474343141796,49.28541287148208
184,lontra-veneravel-beta,1.4830817,11.840101,4708.381,2731.0332,281.25134205128563,-11.320578621612114
185,jaguar-razante-delta,1.2775464,2.5917134,6519.95,1661.3883,349.1890848019958,49.983355733875044
186,leao-imponente-beta,0.8270093,0.46310604,4957.924,785.5681,182.33698695691993,-72.99062917041
187,porco-vigoroso-iota,1.40382,14.648804,4845.0146,1688.4753,159.23904664190812,-34.69525586424073
188,zebra-luminosa-iota,0.71768075,0.2528146,4480.2017,1975.8239,299.9296418609283,12.032608644919087
189,leao-firme-delta,1.7534148,13.32449,7490.417,1842.6702,208.5859051950923,-63.88687592102896
190,canario-voraz-sigma,0.9408342,1.2900486,5424.0356,1199.1056,272.8796961930472,-39.598367854662214
191,bufalo-gentil-alfa,1.4001276,6.71622,5122.756,2102.3176,268.5524983759549,-29.223703068097706
192,camaleao-furioso-zeta,0.7473339,0.27102926,4657.584,1333.7946,299.7568223495522,-44.786933525157586
193,macaco-razante-beta,0.8600623,0.710223,5353.878,917.2585,284.43460941828266,-60.8955220137464
194,galinha-ardilosa-zeta,0.6724621,0.1297155,4260.722,628.4431,223.65362228075594,-28.75920646771276
195,lince-livre-alfa,3.0019624,52.87222,4676.048,1974.4523,276.0228861959542,-22.045920532952923
196,carpa-feroz-pi,2.600833,46.89865,5028.643,3016.676,208.42702259763797,-56.31102395691303
197,cisne-agradavel-sigma,1.403194,6.0669093,5234.7236,6072.802,244.0445006667172,45.76345441364175
198,aguia-venenosa-beta,2.6028614,45.234474,4884.2827,1686.5465,266.4322960902769,-37.89948434981197
199,lince-curioso-pi,0.8653636,0.65333706,5288.548,2102.0188,294.5625577820915,-43.59315784440631
200,gaviao-antigo-sigma,0.82920915,0.5142898,5129.4194,1244.8256,256.6271104076863,19.31781218907614
201,raposa-lenta-iota,1.1822245,2.3524308,6293.027,917.5425,292.105739383512,-21.59035151177365
202,jaguar-bondoso-sigma,0.91014826,0.5786087,5451.6016,1036.7297,72.80223908237197,42.94676633939562
203,aguia-radiante-zeta,0.6893873,0.20594251,4375.226,1427.8557,101.23207783185111,-33.07960465185973
204,hiena-letal-sigma,0.9489099,1.5604033,4822.2075,1170.6481,273.1740056296008,-26.576228002486598
205,galinha-humilde-delta,1.0008692,6.9409223,4662.67,876.3032,272.85710733571227,-22.11923168490036
206,rinoceronte-forte-sigma,1.0922713,1.9242829,5984.664,1192.5238,290.83048606380686,60.997194353612066
207,aguia-astuta-delta,0.92773163,0.568602,5472.88,2291.9023,262.056540183189,27.705723418074466
208,morcego-mortal-iota,0.77091724,0.22444575,4800.124,1537.7444,259.83640845546995,28.9290459791739
209,girafa-ardilosa-gama,0.87480074,0.38114882,5173.386,2251.194,349.05654868624794,-46.0724183611331
210,leao-hostil-gama,0.80351806,0.28248864,4933.7534,1253.632,127.6821388755796,-27.4422101691479
211,foca-livre-zeta,0.6021519,0.09685486,4000.8838,521.6811,48.470215930698906,5.284300266364496
212,raposa-tenaz-beta,0.972614,2.0629146,5314.7017,975.3972,155.50792241268707,-64.90125051933201
213,porco-curioso-gama,0.7059382,0.14911042,4418.624,1118.643,186.73070331404142,9.502233433829607
214,canguru-orgulhoso-alfa,1.581441,9.131805,6302.2476,891.8707,5.291894784696993,64.63323486210561
215,rinoceronte-encantado-pi,0.6845396,0.13892578,3780.9148,573.2335,165.84173705687522,-14.22496597863458
216,canario-fiel-pi,0.751428,0.29027465,4700.9604,1888.7938,23.618057030835274,-36.608685858083135
217,gorila-luminoso-beta,0.6830425,0.12133726,4303.96,1032.9614,294.01215809337754,12.216827314714736
218,galo-astuto-delta,1.1026103,3.143821,5458.7593,2281.0398,295.0307567098079,-32.267023993970824
219,panda-forte-beta,0.8353029,0.49535412,5226.594,354.0053,316.10999168238817,-13.900480691769099
220,boi-pacifico-gama,0.5409003,0.05440844,3770.1184,606.8499,12.351450068573094,-36.45755234182475
221,tordo-legendario-pi,0.9802824,3.376219,4859.2686,2321.2183,274.7519640926309,6.612020613451788
222,pavao-ardente-pi,0.6125625,0.075431995,4017.9243,603.6266,273.1230300285484,-20.55979858434433
223,tartaruga-selvagem-iota,1.5835015,8.835134,6742.74,756.6658,278.5931504164789,1.0549561404388907
224,arraia-racional-delta,1.7652818,13.01911,7634.0215,1996.7107,168.14877200740528,-66.65055313895365
225,carpa-orgulhosa-zeta,0.9426876,1.7497547,5404.6084,1213.256,256.72915060689706,24.865677165096248
226,carpa-calma-alfa,0.77062565,0.40946054,4773.9707,751.0701,64.91466792175666,35.323320211044944
227,pantera-razante-iota,0.82926923,0.3242211,5005.793,1237.346,254.31234850617034,-61.269488833454716
228,javali-sombrio-gama,2.60369,23.5752,4661.26,3773.3132,275.5632723378434,-30.39819003927425
229,falcao-congelante-alfa,1.0796158,3.4540498,5036.0474,1739.8971,287.1866873522224,20.441881564699866
230,elefante-pensativo-sigma,1.1014856,1.334209,6006.0146,998.8895,150.15026483099905,63.869746766000155
231,tigre-prudente-delta,2.147659,26.532078,9223.17,1069.4677,263.3642559294489,-29.671976462939256
232,javali-audaz-alfa,1.315256,4.080857,6204.7275,3086.3384,199.70667463245942,-56.52239420471698
233,pinguim-astrologo-gama,0.8051791,0.4110341,5012.6816,1498.0001,216.3589386216811,-49.62925313941459
234,puma-audaz-pi,0.9139009,1.2763987,5377.5757,1079.3436,299.4026939111452,-10.452649624299811
235,vaca-valiosa-beta,0.91744083,0.7225505,5478.2847,1256.8921,301.26316076166216,14.555364829672856
236,tartaruga-sigilosa-alfa,2.6028988,105.4304,4268.162,7596.959,232.7983569070772,-50.40436859306604
237,porco-lento-sigma,2.7017026,45.827583,4956.068,2935.186,315.07375605289894,35.85468635004508
238,canguru-luminoso-beta,0.74158293,0.20557198,4592.4233,879.3223,133.41761058496402,-43.974403054491766
239,raposa-corrosiva-beta,1.0001035,3.344128,4907.61,1715.662,271.1943920468319,-32.075015555498645
240,vaca-saliente-iota,0.7703067,0.2349082,4757.88,1127.4507,286.0966426977271,46.65196895085839
241,urso-vigoroso-delta,0.561598,0.067928866,3502.5703,445.9912,15.957223311609544,-20.692452766550044
242,rinoceronte-nobre-gama,0.8619405,0.7751437,5388.1904,855.1516,220.8128310541956,-62.949009034076575
243,tigre-perspicaz-iota,0.9222442,1.2648466,5407.122,1772.8685,302.26622750127217,13.099908161988914
244,coruja-orgulhosa-pi,1.2180502,4.009918,5518.6123,1022.1998,276.0670255455711,-23.827949275605423
245,canario-venenoso-iota,2.301329,38.92913,6086.7866,1572.2515,115.79968138355434,-31.66607956118091
246,ornintorrinco-inteligente-iota,0.73008657,0.16323791,4531.693,976.2667,160.571516413745,-40.006272281083724
247,boi-vivaz-delta,0.8328403,0.5742129,4990.0303,1708.5104,312.46477298205315,27.72164704577237
248,aguia-esperta-sigma,0.68125564,0.13596202,4300.4644,588.4575,222.46139249312665,-50.545296115954365
249,vaca-zelosa-pi,1.4921724,3.2953262,4860.4263,893.4653,235.19778821741852,-56.936387214965926
250,gorila-perigoso-sigma,0.8450397,0.411784,5114.4775,1468.2896,270.4927243699545,41.82815840273183
251,antilope-instintivo-delta,0.90292734,1.0468082,5637.0503,842.5441,89.80522009704232,-11.083667237086315
252,carpa-gigante-pi,0.9503204,1.5693561,5023.326,1691.5054,267.1376917230893,-40.13020906880934
253,falcao-agradavel-delta,0.97911376,2.876472,4828.213,1057.8372,347.88076262561316,60.38797801148843
254,elefante-frenetico-alfa,2.2801425,43.08402,8031.578,1683.687,211.77172654300728,-58.59592062122301
255,jaguar-invisivel-gama,0.97021747,2.1476758,5037.355,4096.925,131.19104416901487,-18.057510941952646
256,canguru-selvagem-beta,1.0177758,0.7075854,5795.4927,1016.9753,78.06764775770262,6.745250761669506
257,texugo-inquieto-zeta,0.68268573,0.109640695,4586.8423,1153.5464,270.20274769471393,-33.839927258553296
258,carpa-nobre-pi,2.2259622,26.262754,10271.996,5192.4697,168.8510711422962,-60.23047886176985
259,gaivota-razante-iota,2.3046696,19.247234,4603.158,3962.6501,275.10194006115773,-26.54387154907525
260,suricato-sereno-alfa,1.132696,1.9649708,6108.746,1209.8904,56.17810307699653,14.07877131548163
